lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum
0.8 0.15 0.9660374 0.82598156 0.471949 0.9215686274509803 47
1.0 0.05 0.9954983 0.8553717 0.4547717 0.9215686274509803 47
0.95 0.7 0.9718832 0.82795954 0.46686122 0.9215686274509803 47
0.85 0.75 0.96889096 0.82741773 0.46968403 0.9215686274509803 47
0.7 0.4 0.9538938 0.82581556 0.4830853 0.9215686274509803 47
0.7 0.8 0.95590955 0.8261881 0.48211002 0.9215686274509803 47
0.85 0.4 0.9691092 0.8261126 0.46938673 0.9215686274509803 47
0.85 0.55 0.9678137 0.8266479 0.47104 0.9215686274509803 47
0.7 0.25 0.96785164 0.8264569 0.4706258 0.9215686274509803 47
0.85 0.45 0.96916515 0.8263093 0.4692454 0.9215686274509803 47
1.0 0.25 0.9960085 0.85548276 0.4548706 0.9215686274509803 47
1.0 0.3 0.9962414 0.8555268 0.4551892 0.9215686274509803 47
1.0 0.1 0.99541634 0.8553952 0.45483628 0.9215686274509803 47
0.95 0.65 0.99358433 0.83739114 0.45496246 0.9215686274509803 47
1.0 0.35 0.9962861 0.85555136 0.45506254 0.9215686274509803 47
0.2 0.75 0.98664314 0.7921815 0.4582538 0.9019607843137255 46
0.1 0.2 1.1908009 1.0122412 0.56131685 0.9019607843137255 46
1.0 0.7 0.9971504 0.8533881 0.45355406 0.9215686274509803 47
0.75 1.0 0.97109735 0.8272199 0.46810648 0.9215686274509803 47
1.0 0.45 0.99675006 0.85543466 0.45439452 0.9215686274509803 47
0.95 0.8 0.9701395 0.8286137 0.46819353 0.9215686274509803 47
1.0 0.15 0.9954303 0.85540175 0.45509973 0.9215686274509803 47
1.0 0.5 0.99406326 0.842687 0.45516518 0.9215686274509803 47
0.95 0.85 0.997062 0.8526149 0.45341143 0.9215686274509803 47
0.1 0.1 1.1926248 1.007911 0.57073367 0.9019607843137255 46
1.0 0.85 0.99745387 0.85047245 0.4527356 0.9215686274509803 47
1.0 0.75 0.9972823 0.8524389 0.45329377 0.9215686274509803 47
1.0 0.4 0.9964267 0.8554101 0.45473737 0.9215686274509803 47
1.0 0.9 0.99745977 0.8488052 0.45247272 0.9215686274509803 47
1.0 0.65 0.99713755 0.8541089 0.45369545 0.9215686274509803 47
1.0 0.6 0.9903102 0.8278968 0.45617908 0.9215686274509803 47
0.1 0.05 1.2185037 1.0311517 0.59974897 0.9019607843137255 46
1.0 0.55 0.9966701 0.85488355 0.45428282 0.9215686274509803 47
0.2 0.65 0.9886087 0.80935484 0.4583558 0.9215686274509803 47
0.1 0.8 1.1465375 0.99690807 0.5130104 0.9019607843137255 46
0.2 0.4 0.99167955 0.8052829 0.456728 0.9019607843137255 46
