lengthscale l2regularizer bma_rmse_mean bma_rmse_median bma_std bma_cov nll_bma_mean nll_bma_median bae_rmse_mean bae_rmse_median bae_std bae_cov nll_bae_mean nll_bae_median
0.1 4.9 0.9027812 0.8479526 0.3929658 0.9215686274509803 1.0764827 0.9211266 1.0914224 1.0224489 0.34362826 0.9607843137254902 1.2354491 1.077734
0.1 3.75 0.90289974 0.8481481 0.39287975 0.9215686274509803 1.0763215 0.9210589 1.1649982 1.0987406 0.3649817 0.9607843137254902 1.2076904 1.1171899
0.15 2.2 0.90278286 0.847944 0.39321953 0.9215686274509803 1.0765948 0.9209658 1.8514873 1.619147 0.896268 0.7647058823529411 2.556712 1.0408368
0.1 3.8 0.90287185 0.8480916 0.39288455 0.9215686274509803 1.0762337 0.92106205 1.1671202 1.0921323 0.36676973 0.9607843137254902 1.2216269 1.121815
0.15 0.85 0.9028979 0.8482071 0.3928706 0.9215686274509803 1.0761214 0.92106247 3.5537198 2.6606116 2.3933494 0.803921568627451 3.2883415 1.260669
0.15 1.0 0.90290457 0.8482195 0.3928577 0.9215686274509803 1.0760854 0.9210439 3.130394 2.4422138 2.0559754 0.8235294117647058 3.080466 1.1842375
0.15 2.85 0.90286094 0.848055 0.39311606 0.9215686274509803 1.0762309 0.9210398 1.633376 1.4395026 0.6484475 0.7450980392156863 2.6269681 1.188085
0.15 1.3 0.9028508 0.8479496 0.3928854 0.9215686274509803 1.0760862 0.9210139 2.5678942 2.1485708 1.6006849 0.8235294117647058 2.7373054 1.0967274
0.15 1.45 0.9028082 0.8478357 0.39314732 0.9215686274509803 1.0765532 0.92096925 2.3978775 2.038636 1.4702818 0.7843137254901961 2.766764 1.0993929
0.15 1.65 0.90281695 0.84783673 0.39313745 0.9215686274509803 1.0765632 0.9209819 2.1983383 1.9483547 1.2784235 0.7843137254901961 2.6637216 1.0165024
0.15 1.55 0.90279406 0.84783506 0.39314523 0.9215686274509803 1.0765562 0.9209776 2.2929156 2.0013428 1.3816571 0.7843137254901961 2.7155447 1.0424339
0.15 1.6 0.9028166 0.8478362 0.39313808 0.9215686274509803 1.0765641 0.9209932 2.2384844 1.9692554 1.3009084 0.7843137254901961 2.658364 1.0608374
