lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov bma_rmse_mean bma_rmse_median bma_std bma_cov bae_rmse_mean bae_rmse_median bae_std bae_cov
0.3 0.35 0.8828128 0.8134447 0.37626168 0.8823529411764706 0.8757014 0.7910654 0.3644015 0.8823529411764706 2.512761 2.794137 0.87265176 0.9215686274509803
0.3 0.45 0.8805207 0.83432144 0.36232996 0.8627450980392157 0.87319267 0.8089437 0.3511785 0.8431372549019608 2.5420294 2.7900057 0.82513213 0.9215686274509803
0.4 0.15 0.852091 0.8216853 0.38292316 0.9019607843137255 0.84017944 0.7943839 0.37673265 0.8823529411764706 2.123631 2.2746487 0.7882398 0.9411764705882353
0.3 0.4 0.8765558 0.8255501 0.364537 0.8627450980392157 0.8698351 0.80469483 0.35339004 0.8627450980392157 2.541099 2.8009176 0.87597936 0.9215686274509803
0.3 0.65 0.8970186 0.856606 0.37479138 0.8627450980392157 0.8908356 0.8410318 0.365053 0.8431372549019608 2.5735524 2.6975625 0.8413053 0.9215686274509803
0.3 0.7 0.9029439 0.8730099 0.37425756 0.8431372549019608 0.8979891 0.84999335 0.36381012 0.8431372549019608 2.6529343 2.7861855 0.86548334 0.9215686274509803
0.3 0.55 0.8815443 0.8240472 0.36735064 0.8431372549019608 0.87511426 0.79959345 0.35762757 0.8431372549019608 2.5656452 2.8436894 0.8474089 0.9215686274509803
0.3 0.5 0.88061523 0.8351047 0.37274882 0.8627450980392157 0.87351525 0.80962014 0.36238238 0.8235294117647058 2.526935 2.7724264 0.84695524 0.9215686274509803
0.4 0.65 0.9218749 0.8892858 0.3741321 0.8627450980392157 0.91719973 0.8667098 0.36210033 0.8235294117647058 2.6986263 2.7640896 1.0150436 0.9019607843137255
0.3 0.6 0.8936757 0.85909873 0.36799008 0.8431372549019608 0.887492 0.8475425 0.35786307 0.8431372549019608 2.5585358 2.765294 0.8405783 0.9215686274509803
0.3 0.85 0.91359216 0.8762294 0.38301286 0.8431372549019608 0.9085692 0.85540545 0.3737638 0.8235294117647058 2.6856606 2.9178915 0.9153661 0.9215686274509803
0.3 0.8 0.90980405 0.87104714 0.37751552 0.8431372549019608 0.9049114 0.8482634 0.36761454 0.8431372549019608 2.715569 2.8394613 0.87687206 0.9215686274509803
0.3 0.75 0.90879333 0.8709023 0.37743843 0.8431372549019608 0.9034864 0.8480941 0.36799413 0.8431372549019608 2.6884685 2.9183793 0.8736602 0.9215686274509803
0.4 0.4 0.8969323 0.83488286 0.3831032 0.8823529411764706 0.89171 0.81430674 0.3708682 0.8431372549019608 2.4083705 2.342188 0.92364025 0.9215686274509803
0.4 0.35 0.8827316 0.82033944 0.37624314 0.8627450980392157 0.87466127 0.79969776 0.36850733 0.8627450980392157 2.4102657 2.3955941 0.9481089 0.9411764705882353
0.35 0.55 0.91737425 0.8352262 0.37757513 0.8627450980392157 0.9106617 0.81126624 0.36681476 0.8627450980392157 2.5807834 2.852809 0.89658666 0.9019607843137255
0.3 0.95 0.9189946 0.87033904 0.37760654 0.8431372549019608 0.91413736 0.8476296 0.36858875 0.8235294117647058 2.758754 3.009614 0.93206894 0.9215686274509803
0.35 0.05 0.8949071 0.9229808 0.43932188 0.9019607843137255 0.86892766 0.9100708 0.43552974 0.9019607843137255 1.8775696 1.992607 0.84142935 0.9019607843137255
0.2 1.0 0.85260856 0.8541689 0.35544047 0.8823529411764706 0.8412384 0.8462056 0.3517864 0.8627450980392157 2.7968962 2.9813404 0.9186952 0.9411764705882353
0.4 0.45 0.9158371 0.85136175 0.3909626 0.8627450980392157 0.9103066 0.8233048 0.37825546 0.8431372549019608 2.4762893 2.3972416 0.9042125 0.9215686274509803
0.35 0.7 0.92276704 0.8618709 0.3835633 0.8627450980392157 0.9166912 0.8530072 0.37328276 0.8627450980392157 2.6787884 2.791336 0.95406866 0.9215686274509803
0.45 0.05 0.86618483 0.878276 0.3849764 0.9215686274509803 0.848102 0.83907783 0.37877738 0.9411764705882353 1.9158657 2.058455 0.77906805 0.9215686274509803
0.45 0.2 0.8914436 0.78339577 0.35570538 0.8627450980392157 0.8790933 0.7705375 0.35190165 0.8627450980392157 2.354672 2.5284948 0.92874205 0.9411764705882353
0.35 0.45 0.92251194 0.8442111 0.37578177 0.8823529411764706 0.9157378 0.82095265 0.3654349 0.8823529411764706 2.579009 2.8410463 0.8957781 0.9215686274509803
0.35 0.65 0.9228158 0.8654947 0.38061088 0.8431372549019608 0.9164526 0.847852 0.37002498 0.8431372549019608 2.6557777 2.8323936 0.90803003 0.9215686274509803
0.35 0.6 0.91721046 0.8627125 0.38053802 0.8627450980392157 0.91003406 0.84137255 0.3708574 0.8627450980392157 2.652415 2.800919 0.9028027 0.9215686274509803
0.35 0.3 0.88448495 0.7975991 0.36134082 0.8627450980392157 0.8784293 0.7613862 0.35101807 0.8431372549019608 2.3037663 2.4452486 0.90405 0.9215686274509803
