lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov bma_rmse_mean bma_rmse_median bma_std bma_cov bae_rmse_mean bae_rmse_median bae_std bae_cov
0.4 0.7 1.1475922 1.1356983 0.34698364 0.8823529411764706 1.142789 1.1328067 0.35726517 0.8823529411764706 2.935197 2.7383585 0.71728164 0.9215686274509803
0.45 0.4 1.0628932 1.0539991 0.37488523 0.9019607843137255 1.0587353 1.0442854 0.3820409 0.9019607843137255 2.5951078 2.4875531 0.7438859 0.9215686274509803
0.45 0.6 1.1326035 1.1063249 0.35968834 0.8823529411764706 1.1273634 1.1021924 0.36959028 0.8823529411764706 2.8930428 2.673035 0.77199465 0.9215686274509803
0.35 0.2 1.003766 1.0319338 0.3730182 0.9019607843137255 0.99941206 1.0222201 0.38193405 0.9215686274509803 2.4800467 2.1284704 0.84958357 0.9215686274509803
0.6 0.5 1.0671767 1.0579966 0.36538377 0.9215686274509803 1.0644747 1.0473264 0.37409043 0.9215686274509803 2.9353564 2.6453679 0.91232777 0.9019607843137255
0.6 0.6 1.0938463 1.0628144 0.36738104 0.9215686274509803 1.0907952 1.0521933 0.37593606 0.9215686274509803 2.8577888 2.5482593 0.93416494 0.9215686274509803
0.35 0.25 1.0297934 1.0444655 0.36662066 0.9019607843137255 1.0251857 1.0355119 0.3744776 0.9215686274509803 2.5026844 2.197773 0.86570734 0.9411764705882353
0.25 0.5 1.1147236 1.1025326 0.43740407 0.9019607843137255 1.1092955 1.0948 0.44497845 0.9019607843137255 2.8151386 2.500215 0.79642457 0.8823529411764706
0.55 0.2 0.98075557 0.97590095 0.36762133 0.9019607843137255 0.9779553 0.96571815 0.37474734 0.9215686274509803 2.4376135 2.017043 1.009174 0.9215686274509803
0.45 0.2 1.0303639 1.0129898 0.31852904 0.8823529411764706 1.0260597 1.0030624 0.3273568 0.8823529411764706 2.4673533 2.103815 0.9385718 0.9411764705882353
0.3 0.7 1.137921 1.1117377 0.35939774 0.8823529411764706 1.1332709 1.1041522 0.3680736 0.8823529411764706 2.869096 2.5756617 0.72105044 0.9019607843137255
0.35 0.45 1.1271931 1.1023026 0.33601186 0.8823529411764706 1.1228532 1.0967987 0.34502503 0.8823529411764706 2.6878338 2.4952364 0.80876225 0.9215686274509803
0.3 0.4 1.1627457 1.1038569 0.34037396 0.9019607843137255 1.1580863 1.0962099 0.34994403 0.9019607843137255 2.613099 2.4207122 0.80898243 0.9215686274509803
0.3 0.5 1.1751617 1.121952 0.34630948 0.9019607843137255 1.1704843 1.1147329 0.35504264 0.9019607843137255 2.712494 2.4681063 0.6954328 0.9215686274509803
0.5 0.8 1.1583742 1.179651 0.3683657 0.8823529411764706 1.1529139 1.1765962 0.37902668 0.8823529411764706 2.9139402 2.6662054 0.7529644 0.9215686274509803
0.5 0.95 1.1442212 1.1764297 0.39273298 0.8823529411764706 1.1388353 1.1734902 0.40340707 0.8823529411764706 2.933299 2.6671498 0.8122477 0.9019607843137255
